Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-0.1764705882352935,-0.5294117647058822,-0.647058823529412,2.80392156862745
10.0,-0.0588235294117645,-0.6470588235294112,-0.647058823529412,2.84313725490196
19.0,-0.0588235294117645,-0.5294117647058822,-0.686274509803922,2.72549019607843
29.0,-0.1764705882352935,-0.5294117647058822,-0.647058823529412,2.25490196078431
39.0,0.0588235294117645,-0.5294117647058822,-0.568627450980393,1.74509803921569
50.0,-0.764705882352942,-1.0,-0.647058823529412,0.294117647058825
59.0,-1.470588235294116,-2.0588235294117645,-0.686274509803922,-0.254901961
69.0,-2.0588235294117645,-3.0,-0.568627450980392,-0.80392156862745
79.0,-2.647058823529413,-3.235294117647058,-1.58823529411765,-0.764705882352941
89.0,-2.764705882352942,-3.7058823529411757,-3.86274509803922,-2.41176470588235
99.0,-3.470588235294116,-4.529411764705882,-5.66666666666667,-2.80392156862745
108.0,-3.9411764705882355,-4.529411764705882,-6.13725490196079,-3.58823529411765
118.0,-4.529411764705884,-4.647058823529411,-6.09803921568628,-4.05882352941177
128.0,-4.882352941176471,-5.588235294117647,-6.13725490196079,-4.56862745098039
138.0,-5.470588235294116,-6.411764705882353,-6.1764705882353,-5.19607843137255
148.0,-6.1764705882352935,-6.411764705882353,-6.52941176470588,-5.58823529411765
157.0,-6.4117647058823515,-6.647058823529411,-7.15686274509804,-6.45098039215686
167.0,-7.0,-7.588235294117647,-7.27450980392157,-7.15686274509804
177.0,-7.470588235294116,-8.058823529411764,-7.58823529411765,-7.90196078431373
188.0,-7.7058823529411775,-8.176470588235293,-7.82352941176471,-8.21568627450981
198.0,-8.294117647058822,-9.117647058823529,-8.25490196078431,-9.19607843137255
209.0,-8.882352941176471,-9.588235294117647,-8.41176470588235,-9.31372549019608
217.0,-9.117647058823529,-9.588235294117647,-8.76470588235294,-9.27450980392157
228.0,-9.235294117647058,-9.588235294117647,-8.6078431372549,-9.23529411764706
237.0,-9.117647058823529,-9.588235294117647,-8.64705882352941,-9.27450980392157
247.0,-9.117647058823529,-9.470588235294118,-8.6078431372549,-6.96078431372549
257.0,-9.117647058823529,-9.117647058823529,-8.64705882352941,-6.37254901960784
267.0,-9.235294117647058,-6.882352941176471,-8.80392156862745,-6.25490196078431
276.0,-9.352941176470587,-5.235294117647058,-9.23529411764706,-6.05882352941176
286.0,-9.705882352941178,-5.235294117647058,-9.50980392156863,-5.90196078431372
296.0,-10.058823529411764,-5.235294117647058,-9.58823529411765,-4.96078431372549
305.0,-10.529411764705884,-5.235294117647058,-9.62745098039216,-4.17647058823529
315.0,-10.764705882352942,-5.235294117647058,-10.4117647058823,-3.94117647058823
325.0,-11.0,-5.235294117647058,-10.4901960784314,-3.70588235294118
336.0,-11.352941176470587,-5.235294117647058,-11.1176470588235,-3.11764705882353
345.0,-11.470588235294116,-4.529411764705882,-11.2352941176471,-3.27450980392157
354.0,-11.470588235294116,-3.235294117647058,-11.5098039215686,-2.6078431372549
364.0,-11.588235294117649,-2.1764705882352935,-11.5882352941177,-1.86274509803921
374.0,-12.058823529411764,-1.8235294117647065,-11.7058823529412,-1.43137254901961
384.0,-12.058823529411764,-1.7058823529411757,-12.1372549019608,-1.35294117647059
394.0,-12.294117647058822,-1.8235294117647065,-12.6078431372549,-1.35294117647059
403.0,-12.294117647058822,-1.7058823529411757,-12.6078431372549,-1.11764705882353
413.0,-12.294117647058822,-1.4705882352941178,-12.6470588235294,-1.07843137254902
423.0,-12.294117647058822,-1.0,-12.6862745098039,-0.960784313725489
433.0,-12.294117647058822,-0.882352941176471,-12.7254901960784,-0.76470588235294
443.0,-12.294117647058822,-0.5294117647058822,-12.7254901960784,-0.098039215686273
452.0,-12.294117647058822,-0.0588235294117645,-12.7254901960784,0.372549019607843
462.0,-12.294117647058822,0.5294117647058822,-12.764705882353,1.15686274509804
472.0,-12.294117647058822,0.764705882352942,-12.7647058823529,2.2156862745098
482.0,-12.294117647058822,1.470588235294116,-12.7647058823529,2.37254901960784
492.0,-12.294117647058822,1.9411764705882355,-12.8039215686275,3.11764705882353
502.0,-12.294117647058822,2.1764705882352935,-12.8039215686275,3.98039215686275
511.0,-12.294117647058822,3.0,-12.5294117647059,5.07843137254902
521.0,-12.176470588235293,3.117647058823529,-12.2941176470588,6.13725490196079
531.0,-12.294117647058822,3.8235294117647065,-11.8235294117647,7.11764705882354
541.0,-12.294117647058822,4.647058823529413,-11.2745098039216,7.31372549019607
551.0,-12.176470588235293,5.235294117647058,-10.8039215686275,7.03921568627451
561.0,-12.176470588235293,6.2941176470588225,-10.5294117647059,7.07843137254902
570.0,-12.294117647058822,7.0,-10.5294117647059,7.82352941176471
580.0,-12.294117647058822,7.5882352941176485,-10.5686274509804,8.2156862745098
590.0,-12.176470588235293,8.058823529411764,-10.5686274509804,8.37254901960784
600.0,-11.705882352941178,8.882352941176471,-10.5686274509804,8.96078431372549
610.0,-10.764705882352942,9.588235294117649,-10.4901960784314,9.07843137254903
619.0,-10.529411764705884,9.705882352941178,-10.4117647058824,8.92156862745098
629.0,-10.294117647058822,9.823529411764707,-9.66666666666666,9.0
639.0,-10.411764705882351,9.705882352941178,-8.76470588235294,8.96078431372549
649.0,-10.058823529411764,9.705882352941178,-8.45098039215686,8.88235294117647
659.0,-9.705882352941178,9.823529411764707,-7.7843137254902,9.27450980392157
669.0,-8.647058823529413,9.823529411764707,-7.11764705882353,9.43137254901961
679.0,-8.058823529411764,10.058823529411764,-6.68627450980392,9.86274509803921
688.0,-7.470588235294116,10.058823529411764,-6.25490196078432,10.2549019607843
697.0,-7.0,10.294117647058822,-5.35294117647059,11.0392156862745
707.0,-6.2941176470588225,10.882352941176471,-4.6078431372549,11.1176470588235
716.0,-5.7058823529411775,11.470588235294116,-4.17647058823529,11.3137254901961
726.0,-5.0,11.470588235294116,-3.86274509803922,11.5098039215686
736.0,-4.4117647058823515,11.588235294117649,-3.66666666666667,11.7058823529412
747.0,-3.8235294117647065,12.294117647058822,-2.80392156862745,11.7450980392157
756.0,-3.117647058823529,12.647058823529413,-2.41176470588235,12.0588235294118
767.0,-2.764705882352942,12.647058823529413,-2.01960784313725,12.0980392156863
776.0,-1.9411764705882355,12.647058823529413,-1.62745098039216,12.5686274509804
786.0,-1.7058823529411775,12.647058823529413,-0.921568627450981,12.8039215686275
796.0,-0.882352941176471,12.647058823529413,-0.764705882352941,12.9607843137255
806.0,-0.764705882352942,13.0,-0.764705882352941,12.9607843137255
816.0,-0.5294117647058822,13.0,-0.529411764705882,12.9607843137255
825.0,-0.41176470588235325,12.882352941176471,-0.215686274509804,12.921568627451
835.0,-0.29411764705882426,13.0,0.254901960784314,12.921568627451
845.0,0.5294117647058822,12.882352941176471,1.11764705882353,12.9607843137255
855.0,0.882352941176471,13.0,1.70588235294118,13.078431372549
865.0,1.8235294117647065,12.882352941176471,2.41176470588235,12.7254901960784
875.0,2.6470588235294112,13.0,3.03921568627451,12.6078431372549
884.0,3.0,12.882352941176471,3.50980392156863,12.6862745098039
894.0,3.5882352941176467,12.882352941176471,4.09803921568627,12.5294117647059
904.0,4.294117647058824,12.882352941176471,4.64705882352941,12.4117647058824
914.0,4.764705882352942,12.647058823529413,5.35294117647059,12.0588235294118
924.0,5.235294117647058,10.882352941176471,5.86274509803922,11.8627450980392
933.0,5.8235294117647065,10.647058823529413,6.52941176470588,11.8235294117647
943.0,6.529411764705882,10.764705882352942,6.80392156862745,11.7058823529412
953.0,7.117647058823529,10.764705882352942,7.62745098039216,11.4313725490196
963.0,7.705882352941177,10.764705882352942,8.2156862745098,11.3137254901961
973.0,8.058823529411764,10.764705882352942,8.76470588235294,11.2745098039216
982.0,8.764705882352942,10.764705882352942,9.0,10.7254901960784
992.0,9.235294117647058,10.764705882352942,9.03921568627451,10.6862745098039
1002.0,9.235294117647058,10.764705882352942,9.03921568627451,10.6862745098039
1012.0,9.352941176470587,10.764705882352942,9.03921568627451,10.6078431372549
1022.0,9.470588235294118,10.176470588235293,9.15686274509804,9.90196078431372
1032.0,9.470588235294118,9.0,9.31372549019608,9.66666666666667
1042.0,9.470588235294118,8.882352941176471,9.74509803921569,8.80392156862746
