Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-0.1647058823529406,0.27450980392156943,0.237908496732026,-0.091503267973856
9.0,-0.1647058823529406,0.27450980392156943,0.237908496732026,-0.091503267973856
18.0,-0.1647058823529406,0.27450980392156943,0.237908496732026,-0.091503267973856
28.0,-0.1647058823529406,0.27450980392156943,0.201307189542484,-0.091503267973856
38.0,-0.1647058823529406,0.27450980392156943,0.201307189542484,-0.091503267973856
48.0,-0.1647058823529406,0.3843137254901965,0.164705882352941,-0.091503267973856
58.0,-0.1647058823529406,0.27450980392156943,-0.054901960784314,-0.091503267973856
67.0,-0.49411764705882355,-0.8235294117647065,-0.091503267973856,-0.091503267973856
77.0,-0.7137254901960777,0.27450980392156943,-0.311111111111111,-0.091503267973856
88.0,-1.2627450980392165,0.1647058823529406,-0.457516339869281,-0.091503267973856
97.0,-1.4823529411764707,-0.05490196078431353,-0.567320261437908,-0.128104575163399
107.0,-2.0313725490196077,-0.1647058823529406,-0.823529411764706,-0.201307189542484
116.0,-2.5803921568627466,-0.6039215686274506,-1.88496732026144,-0.384313725490196
126.0,-3.019607843137255,-0.9333333333333336,-2.022875817,-0.603921568627453
136.0,-3.5686274509803937,-1.2627450980392165,-2.36078431372549,-1.37254901960784
146.0,-4.117647058823529,-1.8117647058823536,-3.12941176470588,-1.92156862745098
156.0,-4.776470588235295,-2.141176470588235,-4.0078431372549,-2.47058823529412
166.0,-5.215686274509803,-2.6901960784313736,-4.73986928104575,-3.12941176470588
175.0,-5.874509803921569,-3.019607843137255,-5.50849673202614,-3.93464052287582
185.0,-6.094117647058823,-3.5686274509803937,-6.20392156862745,-4.5202614379085
195.0,-6.643137254901962,-4.007843137254902,-7.00915032679739,-5.17908496732026
205.0,-7.08235294117647,-4.556862745098041,-7.4483660130719,-5.65490196078432
215.0,-7.521568627450982,-4.886274509803922,-7.63137254901961,-5.83790849673203
224.0,-7.741176470588236,-5.105882352941176,-7.66797385620915,-6.05751633986928
235.0,-7.741176470588236,-5.105882352941176,-7.66797385620915,-6.13071895424837
244.0,-7.741176470588236,-5.105882352941176,-7.74117647058824,-6.16732026143791
254.0,-7.741176470588236,-5.215686274509803,-7.74117647058823,-6.24052287581699
264.0,-7.741176470588236,-4.996078431372549,-7.74117647058823,-6.16732026143791
274.0,-7.741176470588236,-5.105882352941176,-7.81437908496732,-6.20392156862745
