Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,0.27450980392156943,0.05490196078431353,0.237908496732026,-0.091503267973856
9.0,0.3843137254901965,0.05490196078431353,0.237908496732026,-0.091503267973856
19.0,0.27450980392156943,-5.764705882352942,0.237908496732026,-0.091503267973856
29.0,0.3843137254901965,0.05490196078431353,0.201307189542484,-0.091503267973856
39.0,0.3843137254901965,0.05490196078431353,0.201307189542484,-0.091503267973856
48.0,0.3843137254901965,0.05490196078431353,0.164705882352941,-0.091503267973856
58.0,0.3843137254901965,0.05490196078431353,-0.054901960784314,-0.091503267973856
68.0,0.3843137254901965,0.05490196078431353,-0.091503267973856,-0.091503267973856
78.0,0.3843137254901965,0.1647058823529406,-0.311111111111111,-0.091503267973856
88.0,0.9333333333333336,0.05490196078431353,-0.457516339869281,-0.091503267973856
97.0,0.9333333333333336,0.05490196078431353,-0.567320261437908,-0.128104575163399
107.0,0.49411764705882355,0.05490196078431353,-0.823529411764706,-0.201307189542484
117.0,-0.3843137254901965,0.05490196078431353,-1.88496732026144,-0.384313725490196
137.0,-2.141176470588235,-0.05490196078431353,-2.022875817,-0.603921568627453
147.0,-3.019607843137255,-0.05490196078431353,-2.36078431372549,-1.37254901960784
156.0,-4.007843137254902,-0.1647058823529406,-3.12941176470588,-1.92156862745098
166.0,-4.996078431372549,-0.49411764705882355,-4.0078431372549,-2.47058823529412
176.0,-5.874509803921569,-1.2627450980392165,-4.73986928104575,-3.12941176470588
186.0,-6.533333333333335,-2.250980392156862,-5.50849673202614,-3.93464052287582
196.0,-7.192156862745097,-3.239215686274509,-6.20392156862745,-4.5202614379085
205.0,-7.850980392156863,-4.117647058823529,-7.00915032679739,-5.17908496732026
215.0,-8.180392156862744,-7.08235294117647,-7.4483660130719,-5.65490196078432
225.0,-8.50980392156863,-5.105882352941176,-7.63137254901961,-5.83790849673203
236.0,-8.50980392156863,-5.654901960784315,-7.66797385620915,-6.05751633986928
245.0,-8.50980392156863,-5.984313725490196,-7.66797385620915,-6.13071895424837
254.0,-8.50980392156863,-6.20392156862745,-7.74117647058824,-6.16732026143791
265.0,-8.50980392156863,-6.20392156862745,-7.74117647058823,-6.24052287581699
274.0,-8.50980392156863,-6.094117647058823,-7.74117647058823,-6.16732026143791
284.0,-8.729411764705883,-5.984313725490196,-7.81437908496732,-6.20392156862745
294.0,-8.83921568627451,-6.094117647058823,-7.88758169934641,-6.09411764705882
304.0,-9.058823529411764,-5.984313725490196,-7.99738562091503,-5.9843137254902
313.0,-9.388235294117646,-6.094117647058823,-8.25359477124183,-5.9843137254902
323.0,-9.607843137254903,-5.984313725490196,-8.43660130718954,-5.87450980392157
